PMS: PM1; PMS: PM2.5; PMS: PM10;-; OPC: PM1; OPC: PM2.5; OPC: PM10;-;Tiempo 
 11;12;15;-;0.715721;0.715734;0;-;16:12:48
6;12;15;-;0.76313;0.907338;0.914066;-;16:12:49
6;11;14;-;2.14994;2.49811;2.50956;-;16:12:50
6;11;13;-;1.50888;1.79143;1.80248;-;16:12:51
6;11;13;-;1.38264;2.44765;11.6626;-;16:12:52
6;11;13;-;1.59856;2.90118;3.58041;-;16:12:53
6;11;13;-;1.53227;2.4699;3.14254;-;16:12:54
4;11;12;-;1.80071;2.0832;2.08666;-;16:12:55
4;11;12;-;1.82645;3.29015;5.94677;-;16:12:56
4;11;12;-;1.02956;1.78504;1.89773;-;16:12:57
 8;8;9;-;0.984361;0.984704;0;-;16:17:49
9;9;9;-;1.20055;1.56778;1.58313;-;16:17:50
4;9;9;-;1.94183;2.27275;2.2879;-;16:17:51
4;9;9;-;2.79739;4.04954;4.09028;-;16:17:52
4;9;9;-;1.74331;1.83932;1.83954;-;16:17:53
4;9;9;-;2.46019;3.40353;4.24593;-;16:17:54
4;9;9;-;2.13768;2.24572;2.24594;-;16:17:55
4;9;9;-;1.70274;2.45206;2.59579;-;16:17:56
6;8;8;-;2.4525;2.61014;2.61053;-;16:17:57
6;8;8;-;3.12683;4.22558;4.24154;-;16:17:58
 9;9;11;-;4.26153;4.41278;0;-;16:22:50
6;11;11;-;3.35063;4.1721;4.20556;-;16:22:51
6;11;11;-;2.37551;3.35631;4.28696;-;16:22:52
6;11;11;-;1.466;2.00785;2.14894;-;16:22:53
6;11;11;-;2.30522;2.64803;2.66082;-;16:22:54
6;9;9;-;3.27811;4.42137;4.44719;-;16:22:55
6;9;9;-;1.46995;3.75884;44.097;-;16:22:56
6;9;9;-;1.73535;2.07586;2.0802;-;16:22:57
6;9;9;-;0.929293;1.39082;1.52627;-;16:22:58
6;9;9;-;2.14052;2.68525;2.70948;-;16:22:59
 3;9;9;-;2.986;3.64126;0;-;16:27:51
3;9;9;-;1.9921;2.28408;135.164;-;16:27:52
3;9;9;-;0.549921;0.752014;0.755165;-;16:27:53
3;9;9;-;1.07791;1.10868;1.1087;-;16:27:54
3;9;9;-;0.404198;0.415737;0.415744;-;16:27:55
3;9;9;-;1.39296;1.50895;1.50928;-;16:27:56
3;9;9;-;1.89743;2.16252;2.17226;-;16:27:57
3;8;8;-;0.956912;1.35544;1.36834;-;16:27:58
3;8;8;-;1.54914;1.63062;1.6308;-;16:27:59
3;8;8;-;1.37214;1.44771;1.44788;-;16:28:00
 8;8;11;-;2.56673;2.5736;0;-;16:32:52
6;11;11;-;2.13966;2.43818;2.44174;-;16:32:53
6;11;11;-;1.81938;2.44299;2.55303;-;16:32:54
6;11;11;-;1.03596;2.19903;2.95478;-;16:32:55
6;11;11;-;2.60664;4.08101;12.5471;-;16:32:56
4;9;9;-;1.561;2.39617;3.04492;-;16:32:57
4;9;9;-;1.83244;2.51097;2.62451;-;16:32:58
4;9;9;-;0.773767;0.86951;0.869814;-;16:32:59
4;8;8;-;1.28753;1.32428;1.32431;-;16:33:00
4;8;8;-;2.05248;2.18441;2.18474;-;16:33:01
 10;14;18;-;1.70021;1.82063;0;-;16:37:53
6;13;18;-;0.943059;1.26413;1.28657;-;16:37:54
6;12;17;-;1.49509;2.4795;3.12062;-;16:37:55
6;12;17;-;1.61308;2.45064;3.04626;-;16:37:56
6;12;17;-;1.79255;2.71491;5.14321;-;16:37:57
6;12;17;-;0.758647;0.814541;0.81469;-;16:37:58
6;12;17;-;2.30123;2.64892;2.65273;-;16:37:59
6;11;17;-;1.34675;1.59035;1.59383;-;16:38:00
6;11;17;-;1.99828;2.09286;2.09305;-;16:38:01
6;11;17;-;2.80275;4.22677;4.36158;-;16:38:02
 7;16;16;-;3.30158;4.08894;0;-;16:42:54
7;16;16;-;2.15135;2.65037;2.6573;-;16:42:55
7;15;15;-;2.73335;4.25043;13.9164;-;16:42:56
7;14;14;-;2.82085;4.8466;5.71574;-;16:42:57
7;13;13;-;2.90367;4.10632;4.84506;-;16:42:58
7;13;13;-;3.8629;5.43831;5.48419;-;16:42:59
7;13;13;-;2.1041;2.42488;2.43529;-;16:43:00
6;12;12;-;2.62942;2.86548;2.86616;-;16:43:01
6;12;12;-;2.16419;2.48356;2.48741;-;16:43:02
6;10;10;-;2.19222;2.73126;2.85421;-;16:43:03
 11;12;12;-;2.42022;2.42042;0;-;16:47:55
11;12;12;-;2.43392;3.43626;4.33628;-;16:47:56
5;10;12;-;2.14224;2.20339;2.20343;-;16:47:57
5;10;12;-;3.38764;4.42583;7.91942;-;16:47:58
5;10;12;-;3.27256;3.7335;3.73805;-;16:47:59
6;11;12;-;2.71489;2.87757;2.87796;-;16:48:00
6;11;12;-;2.41009;2.74634;2.75035;-;16:48:01
6;11;12;-;1.83821;3.51101;5.02182;-;16:48:02
6;11;12;-;2.60819;3.20766;3.2507;-;16:48:03
6;11;12;-;2.63361;3.30031;3.33658;-;16:48:04
 9;11;13;-;2.26078;5.06094;0;-;16:52:56
5;12;13;-;2.92984;3.5281;3.65046;-;16:52:57
5;11;12;-;2.59589;3.33321;3.34443;-;16:52:58
5;11;12;-;2.53178;2.87868;2.88966;-;16:52:59
5;11;12;-;1.73291;1.78237;1.7824;-;16:53:00
5;11;12;-;1.36721;2.33599;5.22929;-;16:53:01
4;11;12;-;2.18901;2.83135;2.96231;-;16:53:02
4;11;12;-;2.91757;3.52461;3.53916;-;16:53:03
4;11;12;-;1.22197;1.37317;1.37365;-;16:53:04
