PMS: PM1; PMS: PM2.5; PMS: PM10;-; OPC: PM1; OPC: PM2.5; OPC: PM10;-;Tiempo 
8;10;11;-;1.78497;2.38999;1.76764;-;11:26:59
9;9;14;-;1.97969;2.52003;1.79884;-;11:36:09
8;10;11;-;3.2083;3.6179;2.97123;-;12:05:00
8;9;11;-;2.22833;2.78874;1.97478;-;12:14:10
7;7;8;-;2.87042;3.5263;2.80752;-;12:23:20
7;7;9;-;2.70378;3.31614;2.48584;-;12:32:30
9;10;10;-;4.44631;5.24958;4.97699;-;12:41:40
9;14;10;-;4.37201;5.00592;4.47502;-;12:50:50
9;11;9;-;3.46382;4.17034;2.91256;-;13:00:00
8;12;9;-;1.95578;2.55947;2.0212;-;13:09:10
12;19;13;-;1.95201;2.50546;1.89349;-;13:18:20
11;15;16;-;2.08953;2.60614;2.22591;-;13:27:30
13;21;14;-;1.61825;2.01749;1.68224;-;13:36:40
10;14;10;-;1.81217;2.36337;1.74433;-;13:45:50
7;11;8;-;1.57335;1.95109;1.39385;-;13:55:00
8;14;8;-;1.46667;1.96555;1.223;-;14:04:10
8;13;9;-;1.639;2.22949;1.69424;-;14:13:20
7;11;7;-;1.53513;1.95958;1.50347;-;14:22:30
7;10;7;-;1.79814;2.39628;1.79966;-;14:31:40
5;11;4;-;1.94722;2.44061;1.9862;-;14:40:50
7;10;7;-;1.93096;2.43843;1.92694;-;14:50:00
6;8;6;-;1.71728;2.20362;1.7302;-;14:59:10
7;11;7;-;1.94267;2.58066;1.98671;-;15:08:20
6;11;6;-;1.61985;2.04878;1.78035;-;15:17:30
8;12;9;-;4.07169;4.74933;3.94305;-;15:26:40
6;10;6;-;2.57833;2.92079;2.64896;-;15:35:50
7;11;7;-;3.79676;4.38595;3.77869;-;15:45:00
6;9;6;-;2.12241;2.68712;2.034;-;15:54:10
13;20;14;-;2.22102;2.76023;2.34194;-;16:03:20
7;10;7;-;2.33677;2.8242;2.27239;-;16:12:30
8;17;8;-;1.94942;2.32538;1.90763;-;16:21:40
8;12;8;-;2.13134;2.53124;2.06252;-;16:30:50
8;12;8;-;2.04264;2.39856;2.14208;-;16:40:00
7;10;7;-;2.66282;3.36875;2.82936;-;16:49:10
6;13;7;-;3.48937;4.22025;3.36595;-;16:58:20
5;11;4;-;2.87346;3.31448;2.57007;-;17:07:30
6;9;7;-;2.49808;2.95477;2.4715;-;17:16:40
9;13;9;-;2.90908;3.45613;3.35479;-;17:25:50
14;20;15;-;3.10637;3.7132;3.19603;-;17:35:00
