PMS: PM1; PMS: PM2.5; PMS: PM10;-; OPC: PM1; OPC: PM2.5; OPC: PM10;-;Tiempo 
 12;12;13;-;2.40993;20.5836;0;-;11:24:59
12;12;13;-;2.09757;2.68286;4.10866;-;11:25:00
12;12;13;-;1.76572;2.28293;3.41108;-;11:25:01
9;13;13;-;1.50148;1.99266;4.21689;-;11:25:02
9;13;13;-;2.0517;2.62592;5.75942;-;11:25:03
9;13;13;-;1.65434;2.19462;2.67464;-;11:25:04
8;11;11;-;1.78559;2.73492;41.811;-;11:25:05
8;11;11;-;1.91724;2.58382;28.3503;-;11:25:06
8;11;11;-;1.77015;2.45427;5.85512;-;11:25:07
8;11;11;-;1.83056;2.3831;4.78583;-;11:25:08
8;11;11;-;1.56895;1.93385;1.99176;-;11:25:09
8;11;11;-;1.91233;2.55401;7.95942;-;11:25:10
 18;20;13;-;2.20138;17.3335;0;-;11:34:09
18;20;13;-;2.04429;2.68059;9.0618;-;11:34:10
7;13;13;-;1.50563;1.7678;3.89627;-;11:34:11
7;13;13;-;1.87452;2.17207;2.18618;-;11:34:12
8;14;14;-;1.46947;2.13047;12.4356;-;11:34:13
10;14;36;-;1.8633;2.24944;2.58899;-;11:34:14
8;18;28;-;2.08436;2.88553;5.64279;-;11:34:15
12;22;30;-;2.23173;3.1587;4.12912;-;11:34:16
14;24;30;-;2.09823;2.59288;2.81292;-;11:34:17
8;15;18;-;1.94518;2.36005;6.56738;-;11:34:18
8;17;19;-;1.978;2.88612;3.84668;-;11:34:19
9;18;20;-;2.32514;2.96507;7.33493;-;11:34:20
 12;12;15;-;3.27348;3.35176;0;-;12:03:00
12;12;15;-;3.77107;4.45642;4.78593;-;12:03:01
13;13;15;-;3.09211;3.59406;4.28829;-;12:03:02
9;13;15;-;3.57091;4.34773;4.6139;-;12:03:03
9;13;15;-;3.04277;3.47128;6.50285;-;12:03:04
9;13;13;-;2.81447;3.43281;3.91802;-;12:03:05
9;13;13;-;2.91255;3.42823;3.61466;-;12:03:06
8;12;12;-;2.88092;3.87781;9.04835;-;12:03:07
8;13;13;-;3.14961;3.62591;3.73792;-;12:03:08
8;13;13;-;3.15136;3.64905;4.05551;-;12:03:09
8;13;13;-;3.51232;4.21826;4.84182;-;12:03:10
8;12;12;-;3.58957;3.99015;6.54093;-;12:03:11
 13;14;12;-;2.4011;5.00178;0;-;12:12:10
12;14;12;-;3.48917;4.27057;5.41801;-;12:12:11
8;12;12;-;3.51216;4.23701;6.40514;-;12:12:12
8;12;12;-;2.85102;3.37923;6.45318;-;12:12:13
8;12;14;-;3.02164;3.55345;4.2332;-;12:12:14
8;12;14;-;2.94907;3.56171;4.05739;-;12:12:15
8;12;14;-;3.04201;3.57941;6.62896;-;12:12:16
8;12;13;-;2.69116;3.28324;4.38872;-;12:12:17
8;12;13;-;2.73591;3.62335;7.38567;-;12:12:18
8;12;13;-;2.581;3.38114;4.64256;-;12:12:19
8;12;13;-;2.29051;2.84902;3.81509;-;12:12:20
8;12;13;-;2.47534;3.20217;14.4514;-;12:12:21
 9;9;12;-;3.56796;10.7017;0;-;12:21:20
9;9;12;-;2.5388;3.20027;35.312;-;12:21:21
8;8;10;-;3.15689;4.04684;21.3975;-;12:21:22
7;10;10;-;3.60781;4.42512;10.4292;-;12:21:23
7;10;10;-;3.73885;4.68677;8.32547;-;12:21:24
7;11;11;-;3.32926;4.08134;4.83402;-;12:21:25
7;11;11;-;3.20801;3.93134;12.599;-;12:21:26
7;11;11;-;3.96195;4.80948;17.5814;-;12:21:27
7;9;9;-;2.44347;2.90037;2.99446;-;12:21:28
7;9;9;-;3.35304;3.87229;13.9904;-;12:21:29
7;9;9;-;3.01148;3.35809;3.64922;-;12:21:30
7;9;9;-;2.76428;3.40612;3.97779;-;12:21:31
 10;11;13;-;3.0368;14.4284;0;-;12:30:30
10;11;11;-;3.34161;4.21913;6.24256;-;12:30:31
8;10;11;-;2.44651;3.20598;23.2584;-;12:30:32
9;11;12;-;2.93773;3.7151;4.45817;-;12:30:33
8;11;12;-;3.22335;3.67171;3.83253;-;12:30:34
8;11;12;-;3.13589;3.77632;4.03144;-;12:30:35
8;11;12;-;3.02399;3.68091;15.2516;-;12:30:36
7;9;11;-;3.49753;4.07141;17.5752;-;12:30:37
7;9;11;-;3.16495;3.691;3.81029;-;12:30:38
7;9;11;-;3.10053;3.92382;25.0739;-;12:30:39
7;10;11;-;3.22267;3.94453;4.8269;-;12:30:40
7;10;11;-;2.65313;3.29256;18.0613;-;12:30:41
 11;11;13;-;5.869;22.4606;0;-;12:39:40
11;11;13;-;3.89477;4.42972;5.49587;-;12:39:41
11;11;13;-;4.1671;4.99147;10.5637;-;12:39:42
9;12;12;-;3.84938;4.33598;4.4521;-;12:39:43
9;12;12;-;3.50611;4.09096;4.60862;-;12:39:44
9;12;12;-;3.61114;4.54887;5.22225;-;12:39:45
9;12;12;-;3.69163;4.65164;10.2528;-;12:39:46
9;12;12;-;3.63165;4.32907;8.94093;-;12:39:47
9;12;12;-;4.10231;4.662;7.85592;-;12:39:48
10;12;12;-;3.62308;4.44567;7.21648;-;12:39:49
10;12;12;-;4.08331;4.823;7.52161;-;12:39:50
10;12;12;-;3.91661;4.60305;7.24005;-;12:39:51
 14;14;12;-;5.0245;5.1237;0;-;12:48:50
9;11;12;-;4.52739;5.04179;7.5216;-;12:48:51
9;11;12;-;4.683;5.61136;10.6137;-;12:48:52
9;11;12;-;4.14492;4.81841;5.17283;-;12:48:53
9;11;12;-;4.44697;5.03119;6.16909;-;12:48:54
8;10;11;-;4.10052;4.83218;5.78602;-;12:48:55
8;17;18;-;4.01135;4.49577;4.58368;-;12:48:56
7;18;19;-;4.57547;5.27597;5.70885;-;12:48:57
8;16;17;-;4.63448;5.32738;21.3836;-;12:48:58
8;16;17;-;3.51681;4.10557;7.35516;-;12:48:59
9;14;15;-;4.16555;5.11775;10.9849;-;12:49:00
9;14;15;-;4.45464;5.10119;15.6859;-;12:49:01
 12;12;11;-;3.59918;16.2418;0;-;12:58:00
9;11;11;-;3.79092;4.40247;4.89542;-;12:58:01
9;11;11;-;4.36091;4.90571;5.11236;-;12:58:02
9;12;12;-;4.89811;5.64141;6.34742;-;12:58:03
10;13;13;-;5.19461;5.98839;6.75878;-;12:58:04
10;13;13;-;5.36566;5.95394;6.12259;-;12:58:05
10;12;12;-;5.11979;5.73623;12.4989;-;12:58:06
9;11;11;-;5.10738;5.66155;5.97455;-;12:58:07
9;11;11;-;5.79364;6.73392;12.7238;-;12:58:08
9;12;12;-;5.03944;5.70812;6.16015;-;12:58:09
9;12;12;-;4.32823;5.01754;5.7543;-;12:58:10
9;12;12;-;3.24485;3.99419;5.41253;-;12:58:11
 13;13;10;-;2.73768;6.14275;0;-;13:07:10
8;10;10;-;2.16791;2.55714;2.68869;-;13:07:11
8;10;10;-;2.4289;3.06944;5.67791;-;13:07:12
8;12;12;-;2.46879;3.07015;5.15947;-;13:07:13
9;13;13;-;2.25725;3.11045;5.48744;-;13:07:14
9;13;13;-;2.09174;2.92128;3.66308;-;13:07:15
9;13;13;-;1.81955;2.42087;4.56878;-;13:07:16
8;12;12;-;2.09789;2.75635;5.98828;-;13:07:17
8;12;12;-;1.96;2.48449;9.12669;-;13:07:18
8;12;12;-;2.21965;2.75356;3.15397;-;13:07:19
8;12;12;-;1.88336;2.36462;2.57828;-;13:07:20
8;12;12;-;1.78261;2.24089;4.82381;-;13:07:21
 20;21;18;-;2.44021;16.5743;0;-;13:16:20
12;16;18;-;1.88333;2.11245;2.19149;-;13:16:21
12;16;18;-;2.08869;2.97885;3.83844;-;13:16:22
11;16;18;-;1.87466;2.34669;3.78187;-;13:16:23
12;17;19;-;2.45964;3.12449;3.37592;-;13:16:24
12;17;19;-;2.10191;2.90627;8.09758;-;13:16:25
13;18;20;-;2.44349;3.12456;3.66328;-;13:16:26
12;17;19;-;2.24715;2.91021;3.20012;-;13:16:27
12;17;19;-;1.9865;2.83455;6.50512;-;13:16:28
13;19;20;-;1.69326;2.41526;12.6818;-;13:16:29
13;19;20;-;2.15296;2.79892;5.68962;-;13:16:30
13;19;20;-;1.98988;2.41616;2.55561;-;13:16:31
